group_id,group_config,n_agents,consensus_reached,final_rec,turn_counter,total_messages,single_round_group,gss,min_sat,coverage_ratio,sat_variance,stability_rate,maj_min_gap,fairness_score,n_strategies_matched,conversation_vs_best_strategy_gss,ADD_rec,LMS_rec,MPL_rec,MAJ_rec,APP_rec,FAI_rec,matches_ADD,matches_LMS,matches_MPL,matches_MAJ,matches_APP,matches_FAI,ADD_gss,LMS_gss,MPL_gss,MAJ_gss,APP_gss,FAI_gss,ISS_Alexander,ISS_Amelia,ISS_Asher,ISS_Ava,ISS_Bailey,ISS_Bart,ISS_Benjamin,ISS_Blair,ISS_Cameron,ISS_Cedric,ISS_Charlotte,ISS_Donald,ISS_Elijah,ISS_Emma,ISS_Evelyn,ISS_Harper,ISS_Henry,ISS_Homer,ISS_Icarus,ISS_Isabella,ISS_James,ISS_Jordan,ISS_Lowen,ISS_Lucas,ISS_Marge,ISS_Maxima,ISS_Mia,ISS_Mickey,ISS_Morgan,ISS_Noah,ISS_Olivia,ISS_Riley,ISS_Roger,ISS_Sophia,ISS_Willem-Alexander,ISS_William
10,coalitional,6,True,rest_c,2,12,False,0.5429,0.1,0.5,0.1711,0.6667,0.5893,0.1714,0,-0.0905,rest_i,rest_s,rest_i,rest_i,rest_g,rest_s,False,False,False,False,False,False,0.5955,0.6333,0.5955,0.5955,0.5997,0.6333,1.0,,,,,,,,,,,,,0.1,,,,1.0,,,,,,,,,,0.2,,,,,,0.1,,0.8571
11,divergent,4,True,rest_w,2,8,False,0.7667,0.1667,0.75,0.1217,0.5,0.8,0.3936,4,0.0,rest_w,rest_i,rest_o,rest_w,rest_w,rest_w,True,False,False,True,True,True,0.7667,0.575,0.6417,0.7667,0.7667,0.7667,,,,,,1.0,0.9,,,,,,,,,,,,,,0.1667,1.0,,,,,,,,,,,,,,
12,minority,6,True,rest_s,3,18,False,0.3222,0.1,0.1667,0.1008,0.5,0.2417,0.1923,0,-0.3681,rest_d,rest_a,rest_u,rest_d,rest_d,rest_d,False,False,False,False,False,False,0.6903,0.6477,0.6532,0.6903,0.6903,0.6903,,,,,,,1.0,,,,,,0.1111,0.1,,0.375,,,0.2222,,,,,,,0.125,,,,,,,,,,
13,uniform,6,False,NO CONSENSUS REACHED,21,126,False,0.0,0.0,0.0,0.0,0.8333,0.0,0.0,0,-0.8135,rest_n,rest_o,rest_t,rest_t,rest_n,rest_n,False,False,False,False,False,False,0.8135,0.695,0.7056,0.7056,0.8135,0.8135,,,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,
14,uniform,4,True,rest_q,3,12,False,0.7168,0.375,0.75,0.0502,0.5,-0.0813,0.5729,0,-0.0471,rest_m,rest_m,rest_m,rest_m,rest_m,rest_m,False,False,False,False,False,False,0.7639,0.7639,0.7639,0.7639,0.7639,0.7639,,,,,0.375,,,,,,,,,,,,,,0.7143,,1.0,0.7778,,,,,,,,,,,,,,
15,uniform,2,True,rest_r,2,4,False,0.525,0.25,0.5,0.0756,0.0,0.0,0.3662,0,-0.325,rest_l,rest_l,rest_v,rest_v,rest_l,rest_v,False,False,False,False,False,False,0.85,0.85,0.8125,0.8125,0.85,0.8125,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,
16,divergent,2,True,rest_t,2,4,False,0.5556,0.1111,0.5,0.1975,0.5,0.0,0.1166,0,-0.3333,rest_n,rest_n,rest_n,rest_n,rest_n,rest_n,False,False,False,False,False,False,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,,,,,,,,,,,,,,,,,,0.1111,,,,,,,,,,,,,,,,,1.0,
17,coalitional,4,True,rest_e,3,12,False,0.5222,0.1111,0.5,0.1416,0.5,0.4296,0.2264,0,-0.2306,rest_j,rest_j,rest_y,rest_y,rest_j,rest_y,False,False,False,False,False,False,0.7528,0.7528,0.5833,0.5833,0.7528,0.5833,,,,0.7778,,,,,,0.1111,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.2,
18,coalitional,8,True,rest_j,7,56,False,0.7524,0.2,0.875,0.0781,0.375,0.0,0.5172,4,0.0,rest_j,rest_f,rest_b,rest_j,rest_j,rest_j,True,False,False,True,True,True,0.7524,0.6948,0.599,0.7524,0.7524,0.7524,1.0,,,0.875,,,,0.5556,,1.0,,,,,,0.2,,,,,0.5,,,,,0.8889,,,,,,,,1.0,,
19,minority,4,True,rest_p,3,12,False,0.75,0.1,0.75,0.1425,0.5,0.0,0.3225,3,0.0,rest_p,rest_q,rest_h,rest_p,rest_q,rest_p,True,False,False,True,False,True,0.75,0.7104,0.5701,0.75,0.7104,0.75,1.0,,,1.0,,,,,,,,,,,,,,,,0.9,,,,,,,,,,0.1,,,,,,
20,minority,4,True,rest_i,2,8,False,0.8313,0.625,1.0,0.0292,0.25,0.0,0.7342,5,0.0,rest_i,rest_i,rest_u,rest_i,rest_i,rest_i,True,True,False,True,True,True,0.8313,0.8313,0.3625,0.8313,0.8313,0.8313,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.625,,,,,,,1.0,,0.7,,
21,divergent,2,True,rest_n,3,6,False,0.8,0.7,1.0,0.01,0.0,0.0,0.768,3,0.0,rest_n,rest_n,rest_z,rest_j,rest_n,rest_j,True,True,False,False,True,False,0.8,0.8,0.55,0.65,0.8,0.65,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,uniform,8,True,rest_q,2,16,False,0.7054,0.1429,0.875,0.081,0.25,0.0,0.4767,0,-0.1012,rest_i,rest_i,rest_i,rest_i,rest_i,rest_i,False,False,False,False,False,False,0.8065,0.8065,0.8065,0.8065,0.8065,0.8065,,0.7778,,,,,,,,,1.0,,,,,,,,,0.5,,,,0.5556,,,0.1429,,1.0,0.6667,,1.0,,,,
23,minority,6,True,rest_b,2,12,False,0.8024,0.1,0.8333,0.1096,0.6667,0.5929,0.4508,4,0.0,rest_b,rest_a,rest_b,rest_b,rest_a,rest_b,True,False,True,True,False,True,0.8024,0.7486,0.8024,0.8024,0.7486,0.8024,,,,,1.0,,,,,,,,,,,,,0.1,,,,,0.7143,,,1.0,,,,,1.0,1.0,,,,
24,divergent,6,True,rest_e,2,12,False,0.6019,0.1,0.6667,0.1515,0.3333,0.0,0.2371,2,-0.0963,rest_g,rest_f,rest_e,rest_e,rest_h,rest_g,False,False,True,True,False,False,0.6981,0.5926,0.6019,0.6019,0.6778,0.6981,,,0.1111,,,,,0.5,,,,,,,,,,,,,,,1.0,,,,1.0,,0.1,,0.9,,,,,
25,uniform,6,True,rest_z,4,24,False,0.7702,0.5556,1.0,0.0231,0.5,0.1553,0.6989,2,-0.0104,rest_p,rest_p,rest_z,rest_p,rest_p,rest_z,False,False,True,False,False,True,0.7806,0.7806,0.7702,0.7806,0.7806,0.7702,,,,1.0,0.8571,0.875,,0.6667,,,,,,,,,,,,,,,,0.5556,,,,,,,,,,0.6667,,
26,uniform,6,True,rest_i,1,6,True,0.9074,0.5556,1.0,0.0264,1.0,0.2778,0.8116,6,0.0,rest_i,rest_i,rest_i,rest_i,rest_i,rest_i,True,True,True,True,True,True,0.9074,0.9074,0.9074,0.9074,0.9074,0.9074,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,0.8889,,,,,,1.0,,,,,,,0.5556,
27,coalitional,8,True,rest_w,4,32,False,0.5517,0.1111,0.5,0.1803,0.5,0.5505,0.1537,2,-0.2302,rest_f,rest_x,rest_w,rest_w,rest_f,rest_f,False,False,True,True,False,False,0.7819,0.5712,0.5517,0.5517,0.7819,0.7819,,,,,,,0.1111,,,,0.1667,,,1.0,,0.9,,0.125,,,,1.0,,1.0,,,,,,,,0.1111,,,,
28,divergent,2,True,rest_x,2,4,False,0.9167,0.8333,1.0,0.0069,0.5,0.0,0.8912,5,0.0,rest_x,rest_k,rest_x,rest_x,rest_x,rest_x,True,False,True,True,True,True,0.9167,0.8,0.9167,0.9167,0.9167,0.9167,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.8333,,
29,uniform,2,True,rest_p,6,12,False,0.9444,0.8889,1.0,0.0031,0.5,0.0,0.9328,6,0.0,rest_p,rest_p,rest_p,rest_p,rest_p,rest_p,True,True,True,True,True,True,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,,,,,,,,0.8889,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
30,divergent,4,False,NO CONSENSUS REACHED,21,84,False,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0,-0.7028,rest_h,rest_x,rest_h,rest_x,rest_h,rest_h,False,False,False,False,False,False,0.7028,0.65,0.7028,0.65,0.7028,0.7028,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,
