group_id,group_config,n_agents,consensus_reached,final_rec,turn_counter,total_messages,single_round_group,gss,min_sat,maj_min_gap,sat_variance,stability_rate,n_strategies_matched,conversation_vs_best_strategy_gss,ADD_rec,LMS_rec,MPL_rec,MAJ_rec,APP_rec,FAI_rec,matches_ADD,matches_LMS,matches_MPL,matches_MAJ,matches_APP,matches_FAI,ADD_gss,LMS_gss,MPL_gss,MAJ_gss,APP_gss,FAI_gss,ISS_Alexander,ISS_Amelia,ISS_Asher,ISS_Ava,ISS_Bailey,ISS_Bart,ISS_Benjamin,ISS_Blair,ISS_Cameron,ISS_Cedric,ISS_Charlotte,ISS_Donald,ISS_Elijah,ISS_Emma,ISS_Evelyn,ISS_Harper,ISS_Henry,ISS_Homer,ISS_Icarus,ISS_Isabella,ISS_Jade,ISS_James,ISS_Jordan,ISS_Liam,ISS_Lowen,ISS_Lucas,ISS_Marge,ISS_Maxima,ISS_Mia,ISS_Mickey,ISS_Morgan,ISS_Noah,ISS_Oliver,ISS_Olivia,ISS_Riley,ISS_Roger,ISS_Sophia,ISS_Steven,ISS_Willem-Alexander,ISS_William
1,coalitional,4,True,rest_r,2,8,False,0.6964,0.2857,0.0,0.0779,0.25,4,-0.0107,rest_d,rest_l,rest_d,rest_r,rest_l,rest_r,True,False,True,True,False,True,0.7071,0.7036,0.7071,0.6964,0.7036,0.6964,,,0.9,,1.0,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2857,
10,coalitional,6,True,rest_c,2,12,False,0.5429,0.1,0.5893,0.1711,0.6667,1,-0.0905,rest_a,rest_s,rest_a,rest_a,rest_g,rest_a,False,False,False,True,False,False,0.5812,0.6333,0.5812,0.5812,0.5997,0.5812,1.0,,,,,,,,,,,,,0.1,,,,1.0,,,,,,,,,,,,0.2,,,,,,,0.1,,,0.8571
100,uniform,8,True,rest_s,1,8,True,0.9441,0.7778,0.1491,0.0063,1.0,6,0.0,rest_s,rest_s,rest_s,rest_s,rest_s,rest_s,True,True,True,True,True,True,0.9441,0.9441,0.9441,0.9441,0.9441,0.9441,1.0,,0.7778,,,,,,,,,,,1.0,,,,,0.9,,,1.0,,,,1.0,,0.875,,,,,,,,,,,,1.0
1000,minority,8,True,rest_r,2,16,False,0.7153,0.1667,0.4926,0.0929,0.75,4,0.0,rest_r,rest_x,rest_d,rest_d,rest_r,rest_r,True,False,True,False,True,True,0.7153,0.5546,0.6859,0.6859,0.7153,0.7153,,,0.5,1.0,,,,,,0.5,,,,,,,,,,,,,,1.0,,,0.1667,,,0.5556,,,1.0,,1.0,,,,,
1001,coalitional,8,True,rest_g,4,32,False,0.5667,0.1,0.0,0.1441,0.25,2,-0.025,rest_m,rest_d,rest_g,rest_g,rest_m,rest_m,False,False,True,True,False,False,0.5917,0.4194,0.5667,0.5667,0.5917,0.5917,,,,,,1.0,,,0.4,,1.0,,,,,,,,,,,,,,,,,,0.1111,,0.7,,0.2222,0.1,,,1.0,,,
1002,divergent,2,True,rest_l,3,6,False,0.95,0.9,0.0,0.0025,0.5,6,0.0,rest_l,rest_l,rest_c,rest_l,rest_l,rest_l,True,True,True,True,True,True,0.95,0.95,0.55,0.95,0.95,0.95,,,,,,,,,,,,,,,,1.0,,,,,,,0.9,,,,,,,,,,,,,,,,,
1003,divergent,2,True,rest_f,2,4,False,0.75,0.5,0.0,0.0625,0.5,3,-0.025,rest_f,rest_g,rest_a,rest_r,rest_g,rest_f,True,False,True,False,False,True,0.75,0.775,0.625,0.65,0.775,0.75,,,,,,,,,,,,,,,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,
1004,divergent,8,True,rest_f,5,40,False,0.6,0.1,0.3733,0.115,0.75,6,0.0,rest_d,rest_b,rest_b,rest_f,rest_f,rest_d,True,True,True,True,True,True,0.6,0.525,0.525,0.6,0.6,0.6,,,,,,,1.0,0.1,,,,,,,,,1.0,0.5,,,,1.0,,,,,,0.5,0.5,,,,,,,,0.2,,,
1005,minority,8,True,rest_x,2,16,False,0.8214,0.5,-0.2041,0.0536,0.375,5,0.0,rest_x,rest_q,rest_l,rest_x,rest_q,rest_x,True,True,True,True,False,True,0.8214,0.7728,0.3602,0.8214,0.7728,0.8214,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,0.5714,,1.0,,,0.5,,,1.0,,1.0,,,,0.5,
1006,uniform,4,True,rest_s,2,8,False,0.7798,0.2857,0.0,0.086,0.5,5,0.0,rest_s,rest_a,rest_s,rest_s,rest_s,rest_s,True,False,True,True,True,True,0.7798,0.6679,0.7798,0.7798,0.7798,0.7798,,,,1.0,,,,0.2857,,,,,,,,,,,,,,,,,,,0.8333,,,,,1.0,,,,,,,,
